Expense Category,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Alimony,,,,,,,,,,,,
Car Insurance,,,,,,,,,,,,
Car Payment,,,,,,,,,,,,
Car Repair / Licenses,,,,,,,,,,,,
Car Replacement Fund,,,,,,,,,,,,
Charity,,,,,,,,,,,,
Child Care,,,,,,,,,,,,
Cleaning,,,,,,,,,,,,
Clothing,,,,,,,,,,,,
Debt,,,,,,,,,,,,
Dining,,,,,,,,,,,,
Discretionary,,,,,,,,,,,,
Doctor / Dentist,,,,,,,,,,,,
Education,,,,,,,,,,,,
Emergency Fund,,,,,,,,,,,,
E-Money,,,,,,,,,,,,
Family,,,,,,,,,,,,
Food & Drink,,,,,,,,,,,,
Fuel,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,,,
Fun / Entertainment,,,,,,,,,,,,
Furniture / Appliances,,,,,,,,,,,,
Gifts Given,,,,,,,,,,,,
Gopay,,,,,,,,,,,,
Groceries,1000.0,,,,,,,,,,,
Haircare,,,,,,,,,,,,
Health Insurance,,,,,,,,,,,,
Home Insurance,,,,,,,,,,,,
Home Supplies,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,,
Life Insurance,,,,,,,,,,,,
Medicine,,,,,,,,,,,,
Miscellaneous,,,,,,,,,,,,
Mortgage / Rent,,,,,,,,,,,,
Other Savings,,,,,,,,,,,,
OVO,,,,,,,,,,,,
Personal Supplies,,,,,,,,,,,,
Playing and Entertaining,,,,,,,,,,,,
Retirement Fund,,,,,,,,,,,,
Shopee Pay,,,,,,,,,,,,
Sport,,,,,,,,,,,,
Subscriptions/Dues,,,,,,,,,,,,
Taxes,,,,,,,,,,,,
Transfer,,,,,,,,,,,,
Transportation,,,,,,,,,,,,
Util. Electricity,,,,,,,,,,,,
Util. Gas,,,,,,,,,,,,
Util. Phone(s),,,,,,,,,,,,
Util. TV / Internet,,,,,,,,,,,,
Util. Water,,,,,,,,,,,,
Work Bills,,,,,,,,,,,,
