,Unnamed: 0,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,Alimony,,,,,,,,,,,,
1,Car Insurance,,,,,,,,,,,,
2,Car Payment,,,,,,,,,,,,
3,Car Repair / Licenses,,,,,,,,,,,,
4,Car Replacement Fund,,,,,,,,,,,,
5,Charity,,,,,,,,,,,,
6,Child Care,,,,,,,,,,,,
7,Cleaning,,,,,,,,,,,,
8,Clothing,,,,,,,,,,,,
9,Debt,,,,,,,,,,,,
10,Dining,,,,,,,,,,,,
11,Discretionary,,,,,,,,,,,,
12,Doctor / Dentist,,,,,,,,,,,,
13,Education,,,,,,,,,,,,
14,Emergency Fund,,,,,,,,,,,,
15,E-Money,,,,,,,,,,,,
16,Family,,,,,,,,,,,,
17,Food & Drink,,,,,,,,,,,,
18,Fuel,,,,,,,,,,,,
19,Fun / Entertainment,,,,,,,,,,,,
20,Furniture / Appliances,,,,,,,,,,,,
21,Gifts Given,,,,,,,,,,,,
22,Gopay,,,,,,,,,,,,
23,Groceries,10000.0,10000.0,,,,,,,,,,
24,Haircare,,,,,,,,,,,,
25,Health Insurance,,,,,,,,,,,,
26,Home Insurance,,,,,,,,,,,,
27,Home Supplies,,,,,,,,,,,,
28,Interest Expense,,,,,,,,,,,,
29,Life Insurance,,,,,,,,,,,,
30,Medicine,,,,,,,,,,,,
31,Miscellaneous,,,,,,,,,,,,
32,Mortgage / Rent,,,,,,,,,,,,
33,Other Savings,,,,,,,,,,,,
34,OVO,,,,,,,,,,,,
35,Personal Supplies,,,,,,,,,,,,
36,Playing and Entertaining,,,,,,,,,,,,
37,Retirement Fund,,,,,,,,,,,,
38,Shopee Pay,,,,,,,,,,,,
39,Sport,,,,,,,,,,,,
40,Subscriptions/Dues,,,,,,,,,,,,
41,Taxes,,,,,,,,,,,,
42,Transfer,,,,,,,,,,,,
43,Transportation,,,,,,,,,,,,
44,Util. Electricity,,,,,,,,,,,,
45,Util. Gas,,,,,,,,,,,,
46,Util. Phone(s),,,,,,,,,,,,
47,Util. TV / Internet,,,,,,,,,,,,
48,Util. Water,,,,,,,,,,,,
49,Work Bills,,,,,,,,,,,,
